Production_Year,Month,States_In_Number,Variety_Rank,Modal Price,Import(Quantity in lakh bales of 170 kgs),Export(Quantity in lakh bales of 170 kgs)
2012,1,1,56,3873.636364,7.51,129.57
2012,2,1,56,3721.388889,7.51,129.57
2012,3,1,56,3576.388889,7.51,129.57
2012,4,1,56,3623.846154,7.51,129.57
2012,5,1,56,3684.5,7.51,129.57
2012,6,1,56,3450,7.51,129.57
2012,7,1,56,3450,7.51,129.57
2012,8,1,56,3455,7.51,129.57
2012,9,1,56,3450,7.51,129.57
2012,10,1,56,3800,7.51,129.57
2012,11,1,56,3913.142857,7.51,129.57
2012,12,1,56,3841,7.51,129.57
2012,1,1,56,3862.916667,7.51,129.57
2012,2,1,56,3736.190476,7.51,129.57
2012,3,1,56,3540,7.51,129.57
2012,4,1,56,3681.176471,7.51,129.57
2012,5,1,56,3550,7.51,129.57
2012,6,1,56,3516.666667,7.51,129.57
2012,7,1,56,3521.428571,7.51,129.57
2012,8,1,56,3562.5,7.51,129.57
2012,9,1,56,3568.75,7.51,129.57
2012,10,1,56,3541.666667,7.51,129.57
2012,11,1,56,3883.333333,7.51,129.57
2012,12,1,56,3883.75,7.51,129.57
2012,3,1,75,3400,7.51,129.57
2012,9,1,75,3500,7.51,129.57
2012,3,1,34,3550,7.51,129.57
2012,10,1,34,3400,7.51,129.57
2012,1,1,56,3975,7.51,129.57
2012,2,1,56,3850,7.51,129.57
2012,3,1,56,3671.111111,7.51,129.57
2012,4,1,56,3697.368421,7.51,129.57
2012,5,1,56,3794,7.51,129.57
2012,6,1,56,3447.058824,7.51,129.57
2012,7,1,56,3575,7.51,129.57
2012,8,1,56,3900,7.51,129.57
2012,9,1,56,3833.333333,7.51,129.57
2012,10,1,56,3897,7.51,129.57
2012,11,1,56,3953,7.51,129.57
2012,12,1,56,3854.285714,7.51,129.57
2012,1,1,56,3913.333333,7.51,129.57
2012,8,1,50,3550,7.51,129.57
2012,9,1,50,3433.333333,7.51,129.57
2012,10,1,50,3783.333333,7.51,129.57
2012,11,1,50,3927.9375,7.51,129.57
2012,12,1,50,3900,7.51,129.57
2012,8,1,56,3450,7.51,129.57
2012,9,1,56,3425,7.51,129.57
2012,10,1,56,3450,7.51,129.57
2012,11,1,56,3450,7.51,129.57
