Production_Year,States_In_Number,Variety_Rank,Modal Price
2009,0,15,2818.75
2009,0,29,2815.8333333333335
2009,0,57,2733.4848484848485
2009,0,65,2601.0
2009,1,1,2508.5833333333335
2009,1,2,2700.0
2009,1,3,2850.0
2009,1,9,2729.7852596676385
2009,1,14,2401.6916666666666
2009,1,15,2930.1845238095243
2009,1,16,2656.0
2009,1,19,2699.5340702473854
2009,1,20,2828.333333333333
2009,1,22,2706.0
2009,1,24,3000.0
2009,1,29,2826.1074472402597
2009,1,35,2750.0
2009,1,42,2165.0
2009,1,44,2974.1987179487182
2009,1,45,2575.0
2009,1,53,2725.0
2009,1,56,2699.942199956906
2009,1,57,2730.0490744887297
2009,1,65,3050.0
2009,1,68,2970.0
2009,1,76,2165.0
2009,2,10,2175.0
2009,2,12,4273.666666666667
2009,2,15,2750.0
2009,2,22,2418.5
2009,2,24,2602.5
2009,2,29,2490.3202947845807
2009,2,39,2404.8162393162393
2009,2,45,2489.5
2009,2,55,2800.0
2009,2,56,2647.380952380952
2009,2,57,2509.048542350263
2009,2,68,2586.440789473684
2009,2,75,3008.126984126984
2009,2,86,3047.6111111111113
2009,3,9,2710.0242999040656
2009,3,28,2915.34375
2009,3,50,2668.1421437770678
2009,3,57,2757.1097973991855
2009,3,65,2803.0815151515153
2009,3,70,3030.0
2009,3,75,3291.0601023976023
2009,3,86,3873.035714285714
2009,4,0,2300.0
2009,4,8,2756.8494708994713
2009,4,14,2236.799780020704
2009,4,18,2420.083333333333
2009,4,25,2396.0
2009,4,29,2428.4814643812074
2009,4,36,2620.174036281179
2009,4,42,2207.0833333333335
2009,4,43,2871.2754464285717
2009,4,46,2617.8482142857147
2009,4,47,2816.316666666667
2009,4,51,2452.6052053429025
2009,4,57,2475.3779761904766
2009,4,58,2551.059432829222
2009,4,66,2704.3510825775534
2009,4,67,2330.1041666666665
2009,4,72,2607.145833333333
2009,4,74,2787.1640511736714
2009,4,90,3000.0
2009,5,4,2165.0
2009,5,5,2725.0
2009,5,11,2545.833333333333
2009,5,12,2874.130492898914
2009,5,16,2700.0
2009,5,18,2801.8510768516935
2009,5,23,3415.0
2009,5,28,2985.0
2009,5,48,2787.5067423460614
2009,5,49,2827.1499921192735
2009,5,56,2931.377495008748
2009,5,57,2770.7567105047083
2009,5,64,2810.142305555862
2009,5,65,2863.3333333333335
2009,5,69,3101.875
2009,5,76,3133.244949494949
2009,7,9,2950.0
2009,7,26,2648.6558484848483
2009,7,46,2581.0
2009,7,57,2812.5071876063644
2009,7,65,2961.8277021011395
2009,7,70,2765.1419322924626
2009,8,39,2667.233101851852
2009,8,55,2585.3174603174602
2009,8,57,2823.9665780285295
2009,8,67,2859.2648692810453
2009,9,42,2901.5144182194617
2009,9,57,2716.9355338459186
2009,9,65,3027.5020394767766
2009,9,70,2802.2184451817975
2009,10,23,2980.334155701754
2009,10,24,3189.7142857142853
2009,10,57,2865.993932135505
2009,10,64,2655.1111111111113
2009,10,65,3022.168758866084
2009,10,66,2489.061025641026
2009,10,70,2704.8682994989713
2010,0,15,3154.733333333333
2010,0,29,2894.222222222222
2010,0,56,2970.0
2010,0,57,2977.785714285714
2010,0,63,3000.0
2010,1,1,2650.0
2010,1,9,3502.869502109144
2010,1,15,3100.0
2010,1,16,3426.0
2010,1,19,3282.6028815229793
2010,1,20,3179.5
2010,1,24,4350.0
2010,1,29,3304.4590422497404
2010,1,45,3222.9166666666665
2010,1,53,3300.0
2010,1,55,3000.0
2010,1,56,3192.45
2010,1,57,3150.724637681159
2010,1,65,3212.3550724637685
2010,2,1,2700.0
2010,2,22,3100.0
2010,2,24,3500.0
2010,2,29,2909.169809642412
2010,2,39,2668.07671957672
2010,2,45,3650.0
2010,2,57,3045.390319574954
2010,2,68,3270.6310606060606
2010,2,75,4413.392857142857
2010,2,80,4100.0
2010,2,86,4875.0
2010,3,28,3492.2212842712847
2010,3,42,4291.071428571428
2010,3,50,3366.7425516366316
2010,3,57,3398.8316143164
2010,3,63,4378.333333333333
2010,3,65,3210.6045205342903
2010,3,69,4458.0
2010,3,70,3083.557692307692
2010,3,75,3599.9150927432897
2010,3,86,3952.112793347004
2010,4,8,3261.5
2010,4,14,2702.378719313813
2010,4,25,2257.5
2010,4,29,2916.7053356511174
2010,4,36,3410.353019995877
2010,4,43,3325.4901830808076
2010,4,46,3373.3570411373685
2010,4,47,3653.8125
2010,4,51,3178.1228787317928
2010,4,52,3012.113636363636
2010,4,55,3089.0
2010,4,57,3123.5055528093594
2010,4,58,3226.0557129802883
2010,4,66,3303.52849609298
2010,4,67,3018.9166666666665
2010,4,74,3760.3002782022536
2010,5,4,2289.4080854309686
2010,5,7,3210.0
2010,5,11,3144.6875
2010,5,48,3477.6178182384065
2010,5,49,3354.6427029291162
2010,5,50,4054.2003676470586
2010,5,56,3714.8473234026005
2010,5,57,3515.597655503911
2010,5,58,2682.5
2010,5,64,3666.141393728091
2010,5,65,3590.6666666666665
2010,5,69,3722.330337949617
2010,5,76,3829.5872579801153
2010,7,26,3521.6349527665316
2010,7,46,3782.25
2010,7,57,3606.912887958658
2010,7,65,3409.302855746404
2010,7,70,3699.6346775306506
2010,8,39,3475.405388471178
2010,8,44,4100.0
2010,8,45,4251.0
2010,8,55,3294.270833333333
2010,8,57,3425.687223628532
