Production_Year,Month,States_In_Number,Variety_Rank,Modal Price
2021,1,5,64,5480.0
2021,1,5,64,5455.0
2021,1,5,64,5520.0
2021,1,5,64,5590.0
2021,1,5,64,5550.0
2021,1,5,64,5540.0
2021,1,5,64,5390.0
2021,1,5,64,5540.0
2021,1,5,64,5390.0
2021,1,5,64,5535.0
2021,1,5,64,5470.0
2021,1,5,64,5550.0
2021,1,5,64,5275.0
2021,1,5,64,5585.0
2021,1,5,64,5425.0
2021,1,5,64,5390.0
2021,1,5,64,5570.0
2021,1,5,64,5565.0
2021,1,5,64,5580.0
2021,1,5,64,5640.0
2021,1,5,64,5585.0
2021,1,5,64,5585.0
2021,1,5,64,5480.0
2021,2,5,64,5440.0
2021,2,5,64,5580.0
2021,2,5,64,5615.0
2021,2,5,64,5620.0
2021,2,5,64,5605.0
2021,2,5,64,5720.0
2021,2,5,64,5610.0
2021,2,5,64,5485.0
2021,2,5,64,5500.0
2021,2,5,64,5635.0
2021,2,5,64,5870.0
2021,2,5,64,5840.0
2021,2,5,64,5870.0
2021,2,5,64,5790.0
2021,2,5,64,5600.0
2021,2,5,64,5845.0
2021,2,5,64,5940.0
2021,2,5,64,6000.0
2021,2,5,64,6150.0
2021,2,5,64,6165.0
2021,2,5,64,5880.0
2021,2,5,64,5870.0
2021,3,5,64,5945.0
2021,3,5,64,5995.0
2021,3,5,64,6000.0
2021,3,5,64,5985.0
2021,3,5,64,6045.0
2021,3,5,64,6010.0
2021,3,5,64,6035.0
2021,3,5,64,6045.0
2021,3,5,64,6190.0
2021,3,5,64,6150.0
2021,3,5,64,6240.0
2021,3,5,64,6050.0
2021,3,5,64,5900.0
2021,3,5,64,5980.0
2021,3,5,64,5925.0
2021,3,5,64,5740.0
2021,3,5,64,5720.0
2021,3,5,64,5615.0
2021,3,5,64,5550.0
2021,3,5,64,5250.0
2021,3,5,64,5745.0
2021,3,5,64,5640.0
2021,4,5,64,5375.0
2021,4,5,64,5650.0
2021,4,5,64,5450.0
2021,4,5,64,5970.0
2021,4,5,64,5575.0
2021,4,5,64,5625.0
2021,4,5,64,5625.0
2021,4,5,64,5750.0
2021,4,5,64,5675.0
2021,4,5,64,5650.0
2021,4,5,64,6095.0
2021,4,5,64,5595.0
2021,4,5,64,5340.0
2021,4,5,64,5125.0
2021,4,5,64,5500.0
2021,4,5,64,5375.0
2021,4,5,64,5250.0
2021,4,5,64,5350.0
2021,4,5,64,5300.0
2021,4,5,64,5250.0
2021,4,5,64,5300.0
2021,4,5,64,5250.0
2021,1,5,57,5395.0
2021,1,5,57,5475.0
2021,1,5,57,5585.0
2021,1,5,57,5670.0
2021,1,5,57,5605.0
2021,1,5,57,5640.0
2021,1,5,57,5645.0
2021,1,5,57,5650.0
2021,1,5,57,5705.0
2021,1,5,57,5735.0
2021,1,5,57,5645.0
2021,1,5,57,5700.0
2021,1,5,57,5735.0
2021,1,5,57,5720.0
2021,1,5,57,5570.0
2021,1,5,57,5585.0
2021,1,5,57,5620.0
2021,1,5,57,5710.0
2021,1,5,57,5700.0
2021,1,5,57,5725.0
2021,1,5,57,5760.0
2021,1,5,57,5610.0
2021,1,5,57,5735.0
2021,2,5,57,5685.0
2021,2,5,57,5525.0
2021,2,5,57,5605.0
2021,2,5,57,5505.0
2021,2,5,57,5620.0
2021,2,5,57,5605.0
2021,2,5,57,5725.0
2021,2,5,57,5770.0
2021,2,5,57,5780.0
2021,2,5,57,5515.0
2021,2,5,57,5620.0
2021,2,5,57,5145.0
2021,2,5,57,5790.0
2021,2,5,57,5740.0
2021,2,5,57,5825.0
2021,2,5,57,5880.0
2021,2,5,57,5920.0
2021,2,5,57,5910.0
2021,2,5,57,5935.0
2021,2,5,57,5955.0
2021,2,5,57,6020.0
2021,2,5,57,5945.0
2021,2,5,57,5960.0
2021,2,5,57,6080.0
2021,3,5,57,6110.0
2021,3,5,57,6155.0
2021,3,5,57,6085.0
2021,3,5,57,6000.0
2021,3,5,57,5955.0
2021,3,5,57,6070.0
2021,3,5,57,6080.0
2021,3,5,57,6030.0
2021,3,5,57,6055.0
2021,3,5,57,6075.0
2021,3,5,57,6095.0
2021,3,5,57,6075.0
2021,3,5,57,6190.0
2021,3,5,57,6075.0
2021,3,5,57,6000.0
2021,3,5,57,5910.0
2021,3,5,57,6030.0
2021,3,5,57,6065.0
2021,3,5,57,6015.0
2021,4,5,57,6030.0
2021,4,5,57,6040.0
2021,4,5,57,6375.0
2021,4,5,57,6300.0
2021,4,5,57,6335.0
2021,4,5,57,6400.0
2021,4,5,57,6330.0
2021,4,5,57,6350.0
2021,4,5,57,6370.0
2021,4,5,57,6769.5
2021,5,5,57,6400.0
2021,5,5,57,6490.0
2021,5,5,57,6445.0
2021,5,5,57,6480.0
2021,5,5,57,6450.0
2021,5,5,57,6510.0
2021,5,5,57,6540.0
2021,6,5,57,6610.0
2021,6,5,57,6720.0
2021,6,5,57,6710.0
2021,6,5,57,6750.0
2021,6,5,57,6769.5
2021,1,5,57,5370.0
2021,1,5,57,5425.0
2021,1,5,57,5275.0
2021,1,5,57,5300.0
2021,1,5,57,5475.0
2021,1,5,57,5475.0
2021,1,5,57,5500.0
2021,1,5,57,5500.0
2021,1,5,57,5475.0
2021,1,5,57,5500.0
2021,1,5,57,5535.0
2021,1,5,57,5525.0
2021,1,5,57,5500.0
2021,1,5,57,5465.0
2021,1,5,57,5500.0
2021,1,5,57,5630.0
2021,2,5,57,5635.0
2021,2,5,57,5540.0
2021,2,5,57,5660.0
2021,2,5,57,5640.0
2021,2,5,57,5610.0
2021,2,5,57,5595.0
2021,2,5,57,5750.0
2021,2,5,57,5755.0
2021,2,5,57,5725.0
2021,2,5,57,5735.0
2021,2,5,57,5710.0
2021,2,5,57,5725.0
2021,2,5,57,5920.0
2021,2,5,57,5825.0
2021,2,5,57,5865.0
2021,2,5,57,5825.0
2021,2,5,57,5900.0
2021,2,5,57,5945.0
2021,2,5,57,5885.0
2021,2,5,57,5905.0
2021,2,5,57,5860.0
2021,2,5,57,5825.0
2021,3,5,57,5875.0
2021,3,5,57,5900.0
2021,3,5,57,6000.0
2021,3,5,57,5875.0
2021,3,5,57,5850.0
2021,3,5,57,6015.0
2021,3,5,57,5915.0
2021,3,5,57,5845.0
2021,3,5,57,6130.0
2021,3,5,57,6055.0
2021,3,5,57,6100.0
2021,3,5,57,5980.0
2021,3,5,57,5900.0
2021,3,5,57,5880.0
2021,3,5,57,5900.0
2021,3,5,57,5950.0
2021,3,5,57,5905.0
2021,4,5,57,5785.0
2021,4,5,57,5935.0
2021,4,5,57,5825.0
2021,4,5,57,6025.0
2021,4,5,57,6100.0
2021,4,5,57,6205.0
2021,4,5,57,6300.0
2021,4,5,57,6150.0
2021,4,5,57,6075.0
2021,4,5,57,5725.0
2021,5,5,57,6769.5
2021,5,5,57,6769.5
2021,5,5,57,6710.0
2021,5,5,57,6560.0
2021,5,5,57,6769.5
2021,6,5,57,6769.5
2021,6,5,57,6769.5
2021,1,5,57,5000.0
2021,1,5,57,5222.0
2021,1,5,57,5320.0
2021,1,5,57,5012.0
2021,1,5,57,5050.0
2021,1,5,57,5125.0
2021,1,5,57,5305.0
2021,1,5,57,5172.0
2021,1,5,57,5075.0
2021,1,5,57,5230.0
2021,1,5,57,5135.0
2021,1,5,57,5180.0
2021,1,5,57,5060.0
2021,1,5,57,5175.0
2021,1,5,57,5125.0
2021,1,5,57,5125.0
2021,1,5,57,4942.0
2021,1,5,57,5180.0
2021,1,5,57,5075.0
2021,1,5,57,5205.0
2021,1,5,57,5125.0
2021,1,5,57,4985.0
2021,1,5,57,5100.0
2021,2,5,57,5150.0
2021,2,5,57,5145.0
2021,2,5,57,5050.0
2021,2,5,57,5230.0
2021,2,5,57,5270.0
2021,2,5,57,5505.0
2021,2,5,57,5275.0
2021,2,5,57,5330.0
2021,2,5,57,5395.0
2021,2,5,57,5450.0
2021,2,5,57,5425.0
2021,2,5,57,5375.0
2021,2,5,57,5425.0
2021,2,5,57,5375.0
2021,2,5,57,5155.0
2021,2,5,57,5350.0
2021,2,5,57,5012.0
2021,2,5,57,5530.0
2021,2,5,57,5305.0
2021,2,5,57,5375.0
2021,2,5,57,5237.0
2021,3,5,57,5150.0
2021,3,5,57,5157.0
2021,3,5,57,5402.0
2021,3,5,57,4875.0
2021,3,5,57,5000.0
2021,3,5,57,5000.0
2021,3,5,57,5150.0
2021,3,5,57,5227.0
2021,3,5,57,5182.0
2021,3,5,57,5255.0
2021,3,5,57,5255.0
2021,3,5,57,5175.0
2021,3,5,57,5250.0
2021,3,5,57,5400.0
2021,3,5,57,5265.0
2021,3,5,57,5107.0
2021,3,5,57,5300.0
2021,3,5,57,5320.0
2021,3,5,57,5325.0
2021,4,5,57,5280.0
2021,4,5,57,5375.0
2021,4,5,57,5525.0
2021,4,5,57,5510.0
2021,4,5,57,5475.0
2021,4,5,57,5375.0
2021,4,5,57,5525.0
2021,4,5,57,5430.0
2021,4,5,57,5245.0
2021,5,5,57,5945.0
2021,5,5,57,5550.0
2021,5,5,57,6000.0
2021,5,5,57,5850.0
2021,5,5,57,5437.0
2021,5,5,57,6000.0
2021,6,5,57,6025.0
2021,6,5,57,6125.0
2021,6,5,57,6157.0
2021,6,5,57,6157.0
2021,6,5,57,6245.0
2021,6,5,57,6450.0
2021,1,5,64,5200.0
2021,1,5,64,5190.0
2021,1,5,64,5485.0
2021,1,5,64,5325.0
2021,1,5,64,5285.0
2021,1,5,64,5485.0
2021,1,5,64,5360.0
2021,1,5,64,5240.0
2021,1,5,64,5335.0
2021,1,5,64,5360.0
2021,1,5,64,5240.0
2021,1,5,64,5360.0
2021,1,5,64,5375.0
2021,1,5,64,5350.0
2021,1,5,64,5400.0
2021,1,5,64,5395.0
2021,1,5,64,5495.0
2021,1,5,64,5255.0
2021,1,5,64,5275.0
2021,1,5,64,5275.0
2021,1,5,64,5240.0
2021,1,5,64,5220.0
2021,2,5,64,5350.0
2021,2,5,64,5300.0
2021,2,5,64,5480.0
2021,2,5,64,5420.0
2021,2,5,64,5425.0
2021,2,5,64,5210.0
